                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.87376,                0.51905,                0.93331,                0.80152,                 0.8023,                0.85074,                0.53995,                 1.1779,                0.66756,                 1.0447,              0.0039115,              0.0039115,              0.0039115
                    126,                0.87597,                0.51974,                0.93367,                0.80393,                 0.8001,                0.85096,                0.54004,                 1.1776,                0.66854,                 1.0445,               0.003862,               0.003862,               0.003862
                    127,                0.87527,                0.51817,                 0.9333,                 0.8066,                0.79661,                0.85086,                0.54018,                 1.1778,                0.66838,                 1.0446,              0.0038125,              0.0038125,              0.0038125
                    128,                 0.8785,                0.51997,                0.93324,                 0.8046,                0.80015,                0.85147,                0.54022,                 1.1779,                0.66868,                 1.0446,               0.003763,               0.003763,               0.003763
                    129,                0.86853,                0.51646,                0.93284,                0.80744,                0.79598,                0.85065,                0.53985,                 1.1781,                0.66873,                 1.0448,              0.0037135,              0.0037135,              0.0037135
                    130,                  0.872,                0.51634,                0.93355,                0.80725,                0.79587,                0.84975,                0.53982,                 1.1782,                0.66847,                 1.0454,               0.003664,               0.003664,               0.003664
                    131,                0.86076,                0.51202,                0.92994,                0.80732,                0.79598,                0.84945,                0.53962,                 1.1784,                 0.6686,                 1.0457,              0.0036145,              0.0036145,              0.0036145
                    132,                0.86688,                0.51299,                0.93249,                0.80866,                0.79646,                0.84877,                0.53953,                 1.1784,                 0.6687,                 1.0461,               0.003565,               0.003565,               0.003565
                    133,                0.86345,                0.51283,                0.93298,                0.80823,                 0.7972,                0.84842,                 0.5394,                 1.1781,                0.66909,                 1.0464,              0.0035155,              0.0035155,              0.0035155
                    134,                0.85857,                0.50615,                0.92746,                0.80462,                0.79995,                0.84848,                0.53934,                 1.1782,                0.66906,                 1.0466,               0.003466,               0.003466,               0.003466
                    135,                0.85906,                0.50669,                0.92827,                0.80351,                0.79956,                0.84855,                 0.5397,                 1.1779,                0.66869,                 1.0466,              0.0034165,              0.0034165,              0.0034165
                    136,                0.85724,                0.50851,                0.92725,                0.80555,                0.79617,                 0.8486,                0.53976,                 1.1774,                0.66881,                 1.0465,               0.003367,               0.003367,               0.003367
                    137,                0.85567,                0.50609,                0.92887,                0.80966,                0.79431,                0.84849,                0.53981,                 1.1773,                0.66882,                 1.0467,              0.0033175,              0.0033175,              0.0033175
                    138,                0.85084,                0.50069,                0.92552,                0.81103,                0.79067,                0.84849,                0.53982,                 1.1773,                0.66923,                 1.0468,               0.003268,               0.003268,               0.003268
                    139,                0.84883,                  0.501,                0.92539,                0.81124,                 0.7916,                0.84958,                0.53993,                 1.1769,                0.66864,                  1.047,              0.0032185,              0.0032185,              0.0032185
                    140,                 0.8446,                0.49878,                0.92233,                0.81177,                0.79234,                0.84984,                0.54004,                 1.1772,                0.66872,                 1.0472,               0.003169,               0.003169,               0.003169
                    141,                0.84066,                0.49557,                0.92088,                0.81149,                0.79352,                0.84987,                0.54006,                 1.1771,                0.66877,                 1.0472,              0.0031195,              0.0031195,              0.0031195
                    142,                0.83251,                0.49324,                0.92167,                0.81118,                0.79589,                0.85034,                0.53994,                 1.1768,                0.66849,                 1.0472,                0.00307,                0.00307,                0.00307
                    143,                0.83693,                0.49572,                0.92202,                0.81363,                0.79465,                0.85014,                0.54032,                 1.1763,                 0.6684,                  1.047,              0.0030205,              0.0030205,              0.0030205
                    144,                0.83812,                0.49587,                0.92418,                0.81537,                0.79279,                0.85052,                0.54075,                 1.1758,                0.66815,                  1.047,               0.002971,               0.002971,               0.002971
                    145,                0.83027,                0.49132,                0.92003,                0.81236,                0.79573,                0.85009,                0.54048,                 1.1756,                0.66842,                 1.0471,              0.0029215,              0.0029215,              0.0029215
                    146,                0.83302,                0.49273,                0.91893,                0.81498,                0.79293,                   0.85,                0.54043,                 1.1754,                 0.6686,                 1.0471,               0.002872,               0.002872,               0.002872
                    147,                0.83115,                0.48963,                0.92068,                0.81397,                0.79293,                0.84939,                0.54074,                 1.1752,                0.66875,                 1.0472,              0.0028225,              0.0028225,              0.0028225
                    148,                0.82771,                0.48741,                 0.9192,                0.81407,                0.79435,                0.84923,                0.54096,                 1.1751,                0.66872,                 1.0472,               0.002773,               0.002773,               0.002773
                    149,                0.81783,                0.48677,                0.91642,                0.81162,                0.79632,                0.84929,                 0.5411,                  1.175,                0.66889,                 1.0473,              0.0027235,              0.0027235,              0.0027235
                    150,                0.82112,                0.48466,                0.91837,                0.81108,                0.79602,                0.84961,                0.54103,                 1.1749,                0.66885,                 1.0474,               0.002674,               0.002674,               0.002674
                    151,                0.81457,                0.48174,                0.91659,                0.81088,                0.79558,                0.84889,                0.54103,                 1.1747,                0.66897,                 1.0475,              0.0026245,              0.0026245,              0.0026245
